"model","term","class","estimate"
"Max_pred","sensitivity","Malignant",0.697674418604651
"Red_pred","sensitivity","Malignant",0.813953488372093
"baseline","sensitivity","Malignant",1
"Max_pred","specificity","Malignant",0.255555555555556
"Red_pred","specificity","Malignant",0.244444444444444
"baseline","specificity","Malignant",0
"Max_pred","balanced_accuracy","Malignant",0.476614987080103
"Red_pred","balanced_accuracy","Malignant",0.529198966408269
"baseline","balanced_accuracy","Malignant",0.5
